yyyymm,Index,D12,E12,b/m,tbl,AAA,BAA,lty,ntis,Rfree,infl,ltr,corpr,svar,csp,CRSP_SPvw,CRSP_SPvwx
197707,98.85,4.4067,10.5167,0.8967833991,0.0519,0.0794,0.0887,0.0768,0.0331818370,0.004200,0.0049423394,-0.0070,-0.0005,0.0005947080,-0.0016868214,-0.015453,-0.016589
197708,96.77,4.4533,10.6133,0.9265342604,0.0549,0.0798,0.0882,0.0754,0.0337503868,0.004400,0.0032786885,0.0198,0.0136,0.0005824464,-0.0016663590,-0.012310,-0.020221
197709,96.53,4.5000,10.7100,0.9422625161,0.0581,0.0792,0.0880,0.0764,0.0323675866,0.004300,0.0032679739,-0.0029,-0.0022,0.0004631961,-0.0018026906,-0.000825,-0.003084
197710,92.34,4.5567,10.7700,0.9753772836,0.0616,0.0804,0.0889,0.0781,0.0327751368,0.004900,0.0032573290,-0.0093,-0.0038,0.0007261726,-0.0012570464,-0.041984,-0.043869
197711,94.83,4.6133,10.8300,0.9620344703,0.0610,0.0808,0.0895,0.0777,0.0292167295,0.005000,0.0048701299,0.0093,0.0061,0.0013875470,-0.0012900084,0.036752,0.026953
197712,95.10,4.6700,10.8900,0.9603330245,0.0607,0.0819,0.0899,0.0803,0.0304753992,0.004900,0.0032310178,-0.0168,-0.0105,0.0006266271,-0.0018338899,0.005570,0.003637
197801,89.25,4.7133,10.9000,1.0367310889,0.0644,0.0841,0.0917,0.0816,0.0288142482,0.004900,0.0064412238,-0.0080,-0.0089,0.0009080501,-0.0018933608,-0.060643,-0.062611
197802,87.04,4.7567,10.9100,1.0755672937,0.0645,0.0847,0.0920,0.0822,0.0311689879,0.004600,0.0064000000,0.0004,0.0051,0.0006698948,-0.0015512130,-0.016260,-0.024938
197803,89.21,4.8000,10.9200,1.1114925531,0.0629,0.0847,0.0922,0.0831,0.0275695984,0.005300,0.0079491256,-0.0021,0.0042,0.0006228568,-0.0013817078,0.026925,0.024356
197804,96.83,4.8367,11.0233,1.0053504037,0.0629,0.0856,0.0932,0.0838,0.0229459889,0.005400,0.0078864353,-0.0005,-0.0023,0.0017411810,-0.0019860558,0.088964,0.087593
197805,97.24,4.8733,11.1267,1.0014156386,0.0641,0.0869,0.0949,0.0852,0.0165594591,0.005100,0.0093896714,-0.0058,-0.0108,0.0010850552,-0.0023334338,0.013719,0.004436
197806,95.53,4.9100,11.2300,1.0279015813,0.0673,0.0876,0.0960,0.0865,0.0165234648,0.005400,0.0108527132,-0.0062,0.0023,0.0010274141,-0.0018349394,-0.016578,-0.018953
197807,100.68,4.9467,11.3433,0.9762603361,0.0701,0.0888,0.0960,0.0858,0.0146714141,0.005600,0.0076687117,0.0143,0.0101,0.0008499296,-0.0015001826,0.056974,0.055121
197808,103.29,4.9833,11.4567,0.9600602176,0.0708,0.0869,0.0948,0.0843,0.0120027078,0.005600,0.0045662100,0.0218,0.0257,0.0010022377,-0.0018316643,0.033641,0.025563
197809,102.54,5.0200,11.5700,0.9722575131,0.0785,0.0869,0.0942,0.0860,0.0127039061,0.006200,0.0075757576,-0.0106,-0.0048,0.0009479772,-0.0025993048,-0.005163,-0.007483
197810,93.15,5.0367,11.8233,1.0622752224,0.0799,0.0889,0.0959,0.0889,0.0143505524,0.006800,0.0090225564,-0.0200,-0.0205,0.0021000234,-0.0018702195,-0.089570,-0.092269
197811,94.70,5.0533,12.0767,1.0535274020,0.0864,0.0903,0.0983,0.0877,0.0140892722,0.007000,0.0044709389,0.0189,0.0134,0.0031808890,-0.0018611309,0.026771,0.017400
197812,96.11,5.0700,12.3300,1.0457012956,0.0908,0.0916,0.0994,0.0898,0.0148505522,0.007800,0.0044510386,-0.0130,-0.0133,0.0016656300,-0.0015481539,0.016627,0.014264
197901,99.93,5.1133,12.6533,1.0030742833,0.0935,0.0925,0.1013,0.0886,0.0143875325,0.007700,0.0088626292,0.0191,0.0184,0.0010011132,-0.0018498194,0.042697,0.040161
197902,96.28,5.1567,12.9767,1.0407754507,0.0932,0.0926,0.1008,0.0908,0.0122277102,0.007300,0.0117130307,-0.0135,-0.0128,0.0008140809,-0.0013147274,-0.028649,-0.036958
197903,101.59,5.2000,13.3000,1.0330789394,0.0948,0.0937,0.1026,0.0902,0.0116703077,0.008100,0.0101302460,0.0129,0.0106,0.0008007332,-0.0013499220,0.057361,0.054825
197904,101.76,5.2467,13.5267,1.0418762428,0.0946,0.0938,0.1033,0.0922,0.0115703138,0.008000,0.0114613181,-0.0112,-0.0052,0.0006468352,-0.0015582344,0.004183,0.002218
197905,99.08,5.2933,13.7533,1.0831418044,0.0961,0.0950,0.1047,0.0903,0.0141831592,0.008200,0.0127478754,0.0261,0.0228,0.0009242270,-0.0014325784,-0.016818,-0.026303
197906,102.91,5.3400,13.9800,1.0578636072,0.0906,0.0929,0.1038,0.0877,0.0120683771,0.008100,0.0111888112,0.0311,0.0269,0.0005714810,-0.0013276842,0.040324,0.037792
197907,103.81,5.3967,14.1967,1.0523144538,0.0924,0.0920,0.1029,0.0895,0.0096782476,0.007700,0.0110650069,-0.0085,-0.0031,0.0007076848,-0.0009540757,0.012051,0.009737
197908,109.32,5.4533,14.4133,1.0034586483,0.0952,0.0923,0.1035,0.0907,0.0115690793,0.007700,0.0095759234,-0.0035,0.0006,0.0005064798,-0.0011714120,0.061865,0.053222
